,1.bicycle,,,2.bonsai,,,3.counter,,,4.flowers,,,5.garden,,,6.kitchen,,,7.room,,,8.stump,,,9.treehill,,,,,,,,,,,,,
Outputs,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR,SSIM,LPIPS,,,,,,,,
,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,,,,,,,,Outputs,PSNR,SSIM,LPIPS,PSNR Drop (%),SSIM Drop(%),LPIPS Increase(%),,,Outputs,PSNR,SSIM,LPIPS,PSNR Drop (%),SSIM Drop (%),LPIPS Increase (%),,,,,,
Rendered Raw,0.767,0.948,0.909,0.729,0.918,0.947,0.937,0.814,0.758,,,,,,,,Rendered Raw,27.397,0.859,0.085,-,-,-,,,Rendered Raw,27.397,0.859,0.085,-,-,-,,,,,,
JPEG 90,0.967,0.964,0.953,0.969,0.951,0.951,0.958,0.962,0.963,,,,,,,,Rendered JPEG 90,27.027,0.846,0.097,1.351 ,1.449 ,14.360 ,,,Rendered HEVC 27,25.527,0.752,0.195,6.824,12.437,129.373 ,,,,,,
JPEG 70,0.909,0.921,0.905,0.914,0.883,0.884,0.922,0.910,0.903,,,,,,,,Rendered JPEG 70,26.454,0.821,0.134,3.442 ,4.335 ,57.180 ,,,Rendered HEVC 32,23.782,0.652,0.326,13.196,24.046,282.898 ,,,Outputs,8.stump,,
JPEG 50,0.871,0.889,0.875,0.877,0.840,0.838,0.898,0.885,0.864,,,,,,,,Rendered JPEG 50,25.624,0.787,0.173,6.473 ,8.283 ,103.133 ,,,Rendered HEVC 37,21.542,0.543,0.435,21.370,36.783,411.243 ,,,QF/QP,PSNR↑,SSIM↑,LPIPS↓
JPEG 30,0.827,0.847,0.837,0.831,0.789,0.781,0.865,0.826,0.818,,,,,,,,Rendered JPEG 30,25.366,0.767,0.218,7.414 ,10.677 ,156.136 ,,,Rendered HEVC 42,20.420,0.481,0.557,25.468,43.956,554.243 ,,,Raw,27.091,0.814,0.105
JPEG 10,0.678,0.600,0.712,0.695,0.625,0.636,0.760,0.661,0.693,,,,,,,,Rendered JPEG 10,22.611,0.617,0.367,17.471 ,28.187 ,330.940 ,,,,,,,,,,,,JPEG 90,26.493,0.789,0.129
Rendered JPEG 90,0.755,0.937,0.900,0.722,0.905,0.935,0.925,0.789,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 70,25.992,0.761,0.172
Rendered JPEG 70,0.735,0.907,0.877,0.704,0.869,0.900,0.915,0.761,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 50,21.345,0.606,0.258
Rendered JPEG 50,0.713,0.900,0.863,0.691,0.842,0.867,0.901,0.642,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 30,24.870,0.698,0.266
