Codec,QP,Category,PSNR,LPIPS
JPEG,70,backpack,46.83823287132943,0.00542887831152887
JPEG,50,backpack,39.84873579044153,0.043345899699200496
JPEG,30,backpack,37.85160049589554,0.03756893728629197
JPEG,20,backpack,35.47559864686267,0.07225093339560645
JPEG,10,backpack,31.40486194119595,0.20780589431524277
JPEG,70,ball,47.26382844754965,0.005591881122569194
JPEG,50,ball,40.58078459937974,0.04324885931714337
JPEG,30,ball,38.658814383025216,0.037161441206341926
JPEG,20,ball,35.99293986405476,0.07825599472490277
JPEG,10,ball,31.533928975020306,0.22083590887855775
JPEG,70,book,46.38979192299418,0.007111691547059777
JPEG,50,book,38.941049292536064,0.05035478158826285
JPEG,30,book,37.093953179840994,0.039938900518314085
JPEG,20,book,34.70168351654959,0.07800746666691681
JPEG,10,book,30.492331693668177,0.22488925716664532
JPEG,70,chair,47.413104236716094,0.004290618703211888
JPEG,50,chair,40.128628381408085,0.03243548286580803
JPEG,30,chair,38.16872047197701,0.030884548108840344
JPEG,20,chair,35.605019087838656,0.0692467236946715
JPEG,10,chair,31.24534555945066,0.19236605289844003
JPEG,70,handbag,47.7026303357417,0.004516595704849846
JPEG,50,handbag,41.58105910650574,0.03616695053469721
JPEG,30,handbag,39.422506370166744,0.02620769171320861
JPEG,20,handbag,36.58303778242357,0.05339826199013998
JPEG,10,handbag,31.774199750163767,0.18608181599048104
JPEG,70,laptop,47.594082232884,0.007980554204966342
JPEG,50,laptop,40.06563903263637,0.051475723034569196
JPEG,30,laptop,38.236430413382394,0.04579754014100347
JPEG,20,laptop,35.89459866115025,0.09354319173310484
JPEG,10,laptop,31.643552466801236,0.20384339530553136
JPEG,70,plant,47.86795294405234,0.003688727875917473
JPEG,50,plant,41.56043700015906,0.02785543796389994
JPEG,30,plant,39.47376222321481,0.025432844618053146
JPEG,20,plant,36.870404387965344,0.05509918672267837
JPEG,10,plant,32.386074528549656,0.1687574041913254
JPEG,70,teddybear,47.15205334200717,0.0039308766677680585
JPEG,50,teddybear,40.24275411473643,0.029204427384503996
JPEG,30,teddybear,38.28562330491472,0.02714394182335622
JPEG,20,teddybear,35.823033644421265,0.057832165796420365
JPEG,10,teddybear,31.614697286398105,0.16322554677429765
JPEG,70,vase,47.70658840519367,0.0034461028120102415
JPEG,50,vase,41.221571497397846,0.02473371117237476
JPEG,30,vase,39.31235341742487,0.024697693216955603
JPEG,20,vase,36.59964667216386,0.05782433626896674
JPEG,10,vase,32.256078314073015,0.1806171877254354
JPEG,10,ALL_AVG,31.594563390591208,0.19426916258288407
JPEG,20,ALL_AVG,35.94955136260333,0.06838425122148976
JPEG,30,ALL_AVG,38.500418251093585,0.032759282070262824
JPEG,50,ALL_AVG,40.463406535022315,0.03764680817338442
JPEG,70,ALL_AVG,47.32536274871869,0.005109547438875744
