Codec,QP,Category,PSNR,LPIPS
AVC,27,backpack,38.78957552012831,0.022758710963448676
AVC,32,backpack,36.33869930305103,0.04156422906435362
AVC,37,backpack,33.729883080661885,0.07659041435264125
AVC,42,backpack,30.925130475865732,0.13602310341626112
AVC,47,backpack,27.881887823048203,0.22271572178838275
AVC,27,ball,39.284863632504305,0.028304980011970394
AVC,32,ball,37.24094917750595,0.05339972555895548
AVC,37,ball,35.09112303327806,0.0813705401476657
AVC,42,ball,32.638510949540844,0.11681491151304528
AVC,47,ball,29.885820171620587,0.17137664803626515
AVC,27,book,37.933040146780485,0.03781887764885727
AVC,32,book,35.51538055722076,0.07405164474529205
AVC,37,book,33.025984254213846,0.12220081592919213
AVC,42,book,30.464096550894254,0.17286503543653112
AVC,47,book,27.828587513158816,0.22546065665117584
AVC,27,chair,38.96671195077424,0.024620175133413164
AVC,32,chair,36.622414843870864,0.05476579914736276
AVC,37,chair,34.03076870606677,0.11022453246140244
AVC,42,chair,31.227936942978662,0.19179146161468902
AVC,47,chair,28.493229233392395,0.27409810240906063
AVC,27,handbag,40.06160598226113,0.016157554907466072
AVC,32,handbag,37.98293289335648,0.028479977805942
AVC,37,handbag,35.67992758042742,0.04884170376612704
AVC,42,handbag,33.041882911531054,0.08185561565626966
AVC,47,handbag,30.104361090329615,0.13332498110461943
AVC,27,laptop,11.762154282263989,0.46711521323348554
AVC,32,laptop,11.750597836836329,0.47872484415629
AVC,37,laptop,11.744087867017063,0.48400175726076344
AVC,42,laptop,11.781681942489913,0.4935432162206128
AVC,47,laptop,11.767419068318492,0.5088235769631728
AVC,27,plant,37.1120311911336,0.05250248932492385
AVC,32,plant,35.02185071180315,0.0621451747977189
AVC,37,plant,32.68018740929928,0.08175073758826643
AVC,42,plant,30.110894822832293,0.11895181974254283
AVC,47,plant,27.31613712020332,0.1772900226757611
AVC,27,teddybear,39.4503709207667,0.017775650214551405
AVC,32,teddybear,36.936090035013635,0.037855092076455606
AVC,37,teddybear,34.26592031799921,0.0756421575119885
AVC,42,teddybear,31.416525850201598,0.13298315385190568
AVC,47,teddybear,28.3979967986003,0.20970285477319567
AVC,27,vase,40.32543493969606,0.01244005258656153
AVC,32,vase,38.017154108179675,0.02232976598517582
AVC,37,vase,35.40846484722477,0.042544845971140534
AVC,42,vase,32.52834817678622,0.0801449469521199
AVC,47,vase,29.48010252962018,0.13283411785960197
AVC,27,ALL_AVG,35.965087618478755,0.07549930044718643
AVC,32,ALL_AVG,33.936229940759766,0.09481291703750513
AVC,37,ALL_AVG,31.739594121798703,0.12479638944324305
AVC,42,ALL_AVG,29.348334291457846,0.16944147382266414
AVC,47,ALL_AVG,26.79506014981021,0.2284029646956928
