Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9748,0.9496,0.8489,0.7481
ball,0.9681,0.9363,0.8089,0.6815
book,0.9600,0.9200,0.7733,0.6593
chair,0.9978,0.9956,0.9867,0.9778
handbag,0.9630,0.9259,0.7778,0.6444
laptop,0.1467,0.0281,0.0000,0.0000
plant,0.9267,0.8533,0.6044,0.4148
teddybear,0.9859,0.9719,0.9156,0.8667
vase,0.9667,0.9333,0.8089,0.7037
