Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9704,0.9407,0.8222,0.7037
ball,0.9119,0.8237,0.4889,0.2222
book,0.8030,0.6252,0.2622,0.1704
chair,0.9644,0.9289,0.7956,0.6889
handbag,0.9193,0.8385,0.5733,0.3556
laptop,0.0200,0.0133,0.0000,0.0000
plant,0.9030,0.8059,0.5511,0.4444
teddybear,0.9815,0.9630,0.8889,0.8296
vase,0.9141,0.8281,0.5111,0.3259
