Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9770,0.9541,0.8622,0.7704
ball,0.9378,0.8756,0.6400,0.4222
book,0.8889,0.7778,0.4178,0.2741
chair,0.9978,0.9956,0.9867,0.9778
handbag,0.9415,0.8830,0.6578,0.4889
laptop,0.0163,0.0000,0.0000,0.0000
plant,0.9348,0.8696,0.6533,0.4889
teddybear,0.9830,0.9659,0.8978,0.8370
vase,0.9467,0.8933,0.7156,0.5852
