Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9674,0.9348,0.8044,0.6741
ball,0.9370,0.8741,0.6711,0.4889
book,0.8630,0.7259,0.3111,0.2000
chair,0.9874,0.9748,0.9244,0.8741
handbag,0.9156,0.8311,0.5378,0.3481
laptop,0.0163,0.0000,0.0000,0.0000
plant,0.9326,0.8652,0.6267,0.4741
teddybear,0.9859,0.9719,0.9156,0.8667
vase,0.9348,0.8696,0.6489,0.4963
