Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9793,0.9585,0.8756,0.7926
ball,0.9741,0.9481,0.8444,0.7407
book,0.9711,0.9422,0.8267,0.7259
chair,0.9993,0.9985,0.9956,0.9926
handbag,0.9637,0.9274,0.7822,0.6370
laptop,0.0600,0.0178,0.0000,0.0000
plant,0.9259,0.8533,0.6089,0.4444
teddybear,0.9881,0.9763,0.9289,0.8815
vase,0.9844,0.9689,0.9067,0.8593
