Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9785,0.9570,0.8711,0.7852
ball,0.9689,0.9378,0.8133,0.7037
book,0.9652,0.9304,0.7956,0.6741
chair,0.9978,0.9956,0.9867,0.9778
handbag,0.9681,0.9363,0.8089,0.6815
laptop,0.0711,0.0356,0.0000,0.0000
plant,0.9259,0.8533,0.6044,0.4296
teddybear,0.9911,0.9822,0.9467,0.9111
vase,0.9770,0.9541,0.8622,0.7852
