Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9844,0.9689,0.9067,0.8444
ball,0.9667,0.9333,0.8133,0.7037
book,0.8970,0.7941,0.4489,0.2889
chair,1.0000,1.0000,1.0000,1.0000
handbag,0.9474,0.8948,0.6933,0.5259
laptop,0.0030,0.0000,0.0000,0.0000
plant,0.9393,0.8785,0.6800,0.5259
teddybear,0.9859,0.9719,0.9156,0.8593
vase,0.9622,0.9244,0.7822,0.6741
