Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9807,0.9615,0.8844,0.8074
ball,0.9600,0.9200,0.7644,0.6222
book,0.9030,0.8059,0.4756,0.3333
chair,0.9978,0.9956,0.9867,0.9778
handbag,0.9422,0.8844,0.6667,0.4889
laptop,0.0096,0.0000,0.0000,0.0000
plant,0.9407,0.8815,0.6711,0.5111
teddybear,0.9844,0.9689,0.9067,0.8519
vase,0.9519,0.9037,0.7333,0.6148
