Category,AUC@30,AUC@15,AUC@5,AUC@3
backpack,0.9822,0.9644,0.8933,0.8222
ball,0.9719,0.9437,0.8311,0.7185
book,0.9770,0.9541,0.8622,0.7704
chair,0.9985,0.9970,0.9911,0.9852
handbag,0.9696,0.9393,0.8178,0.6963
laptop,0.0978,0.0163,0.0000,0.0000
plant,0.9348,0.8696,0.6489,0.4815
teddybear,0.9881,0.9763,0.9289,0.8815
vase,0.9830,0.9659,0.8978,0.8370
